system:index,VH,VH_VV_ratio,VV,angle,date,dewpoint_temperature_2m,latitude,longitude,oil_candidate,orbit_direction,orbit_type,surface_net_solar_radiation,surface_pressure,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,wind_direction_degrees,wind_speed_10m,.geo
0_1_430,-28.168170346029203,1.239846552835085,-22.71907784202705,43.07367706298828,2015-03-10,278.8167584737142,37.93494008897799,-76.26374325371324,1,0,ASC,2511332.091928482,102190.43489583333,281.0005677541097,2.7702127821290407E-5,-1.4583969116210938,1.8700072765350342,-37.950253793072406,2.3714655312949247,"{""type"":""Point"",""coordinates"":[-76.26374325371324,37.93494008897799]}"
0_1_493,-24.9034107435439,0.9725629668468214,-25.60596238234741,40.22695541381836,2015-03-10,278.32278060913086,37.96635992232168,-76.853978656433,1,0,ASC,2045189.2585951488,101966.3515625,280.73119926452637,8.101848257287732E-5,-0.8427556355794271,1.006644646326701,-39.93582677394168,1.3128482415264504,"{""type"":""Point"",""coordinates"":[-76.853978656433,37.96635992232168]}"
0_2_88,-16.163941747292686,1.49824005230142,-10.78861943549269,44.34197235107422,2015-03-10,278.59052149454754,37.26195866748024,-75.85615398810167,0,0,ASC,3591771.341928482,102298.55989583333,279.90307426452637,3.0696384811790267E-7,-1.4687728881835938,3.8160928885142007,-21.05117586349565,4.088992385763494,"{""type"":""Point"",""coordinates"":[-75.85615398810167,37.26195866748024]}"
0_2_260,-18.199969043257592,1.6085814542038346,-11.314297448658355,44.3336296081543,2015-03-10,278.59052149454754,37.271444156944106,-75.85993330772948,0,0,ASC,3591771.341928482,102298.55989583333,279.90307426452637,3.0696384811790267E-7,-1.4687728881835938,3.8160928885142007,-21.05117586349565,4.088992385763494,"{""type"":""Point"",""coordinates"":[-75.85993330772948,37.27144415694411]}"
0_2_261,-17.742046809078033,1.0199881670284645,-17.394365329517505,40.45099639892578,2015-03-10,281.80585352579754,36.86741557389423,-76.57475483558154,0,0,ASC,2915625.841928482,102165.3515625,286.2207825978597,3.0696384811790267E-7,0.8784357706705729,1.8573119640350342,25.312314302466582,2.054569817490094,"{""type"":""Point"",""coordinates"":[-76.57475483558154,36.86741557389423]}"
1_1_398,-23.74503899600849,0.9288166166954033,-25.564830095837372,32.069583892822266,2015-03-17,281.3138739267985,36.94709711009913,-76.04567074652736,1,0,ASC,5186598.393066406,100756.400390625,287.6548334757487,1.8214148504439956E-4,4.174934387207031,-0.1897258758544922,92.60196139585632,4.179243118730054,"{""type"":""Point"",""coordinates"":[-76.04567074652736,36.94709711009913]}"
1_2_38,-23.88906354491187,1.9014532203217533,-12.563582048507875,31.462871551513672,2015-03-17,279.5836493174235,38.05463005904797,-76.4054840714764,0,0,ASC,5077624.309733073,100743.94205729167,284.17542266845703,2.963511245737867E-4,2.9795405069986978,-0.5291220347086588,100.06989689386721,3.0261579206082896,"{""type"":""Point"",""coordinates"":[-76.4054840714764,38.05463005904798]}"
1_2_67,-24.99954312864351,1.9449127247132505,-12.853812313007174,31.862924575805664,2015-03-17,278.91584332784015,38.95302853995239,-76.55506482642006,0,0,ASC,4364272.643066406,100310.48372395833,284.17542266845703,6.286220287075039E-4,3.1405105590820312,-0.6933066050211588,102.44907678649389,3.2161282033326497,"{""type"":""Point"",""coordinates"":[-76.55506482642006,38.9530285399524]}"
1_2_186,-26.88871687866729,1.6232094645145385,-16.56515530896626,38.6041374206543,2015-03-17,278.02464866638184,39.0951232299311,-75.36762234551254,0,0,ASC,4913891.059733073,100569.775390625,283.78675079345703,3.3295800013248095E-4,3.6395746866861978,-0.2860393524169922,94.49372002487486,3.6507975034364843,"{""type"":""Point"",""coordinates"":[-75.36762234551254,39.0951232299311]}"
1_2_207,-25.00887637783704,1.5011450922530682,-16.65986619607917,36.462013244628906,2015-03-17,279.86034202575684,37.867179564337505,-75.49102260561044,0,0,ASC,5304947.809733073,100651.150390625,284.98263295491535,3.7200866612696615E-4,3.0826492309570312,-0.4588095347086589,98.46553620054384,3.1166059215530524,"{""type"":""Point"",""coordinates"":[-75.49102260561044,37.867179564337505]}"
1_2_223,-24.77342929148206,1.7381964194176729,-14.252376207161676,35.52438735961914,2015-03-17,277.70262718200684,39.43068761301267,-76.02110498836194,0,0,ASC,4664064.226399739,100451.400390625,283.15442657470703,3.310379607383377E-5,3.1131261189778647,-0.6738974253336588,102.21434199837365,3.1852302856361137,"{""type"":""Point"",""coordinates"":[-76.02110498836194,39.43068761301268]}"
1_2_260,-23.600905884392773,1.5622405285591388,-15.107088475140246,33.62498092651367,2015-03-17,279.65461285909015,37.271444156944106,-75.85993330772948,0,0,ASC,5578141.976399739,100714.81705729167,284.48434193929035,6.186241629624334E-5,4.901781717936198,-0.4048544565836589,94.72153224499844,4.918472439824096,"{""type"":""Point"",""coordinates"":[-75.85993330772948,37.27144415694411]}"
1_2_290,-22.790515511308524,1.4533076604961541,-15.681824386398626,31.486135482788086,2015-03-17,279.5443426767985,38.324072942159816,-76.46700986921343,0,0,ASC,4733771.893066406,100567.35872395833,284.40125274658203,2.0623945666257507E-4,2.7308832804361978,-0.4941692352294922,100.25701087876035,2.7752345350282144,"{""type"":""Point"",""coordinates"":[-76.46700986921343,38.324072942159816]}"
1_2_314,-25.091067835189893,1.9445509526356979,-12.903270958871389,33.616004943847656,2015-03-17,278.2555243174235,39.01773129010771,-76.26791445117814,0,0,ASC,4632107.059733073,100688.85872395833,282.4451166788737,2.4213914794627792E-4,4.124234517415364,-0.1827678680419922,92.53743582836441,4.128282263633261,"{""type"":""Point"",""coordinates"":[-76.26791445117814,39.01773129010771]}"
1_2_327,-22.3481064252104,1.5985086230219665,-13.980597979485092,30.511014938354492,2015-03-17,278.43456077575684,39.43710582583507,-76.93510079070714,0,0,ASC,4207872.143066406,98762.31705729167,284.21114857991535,3.917104847520984E-4,2.8864008585611978,-1.0455608367919922,109.9122547388371,3.0699360546656327,"{""type"":""Point"",""coordinates"":[-76.93510079070714,39.43710582583507]}"
1_2_336,-22.39139521877394,1.5481293174403732,-14.463517334453137,33.533790588378906,2015-03-17,278.52269554138184,38.73412218362813,-76.2161298356623,0,0,ASC,4758334.309733073,100692.48372395833,283.48824818929035,4.042383255849676E-4,3.3042475382486978,-0.2344036102294922,94.05776983225736,3.3125514103951956,"{""type"":""Point"",""coordinates"":[-76.2161298356623,38.73412218362814]}"
1_2_345,-19.725046723536167,1.8837180824568707,-10.47133693052914,35.41073989868164,2015-03-17,280.48973655700684,37.83678411747479,-75.67390991299865,0,0,ASC,5180776.226399739,100669.81705729167,285.06482696533203,3.1054572237435946E-4,2.9432042439778647,-0.7059612274169922,103.48822687177571,3.026686715929718,"{""type"":""Point"",""coordinates"":[-75.67390991299865,37.83678411747479]}"
1_2_373,-22.160533010916303,1.8527284476577135,-11.961025933904374,33.13091278076172,2015-03-17,278.92845726013184,38.35543659154401,-76.19548880398496,0,0,ASC,4974330.393066406,100721.35872395833,283.52356719970703,2.928477994889415E-4,3.2183507283528647,-0.2401409149169922,94.26728228091254,3.227297487017053,"{""type"":""Point"",""coordinates"":[-76.19548880398497,38.35543659154401]}"
2_1_11,-29.39503111702797,1.2036515439777018,-24.42154564093055,45.015987396240234,2015-08-25,289.55331230163574,39.683342527104955,-76.19965432641052,1,0,ASC,5975738.75,100004.46061197917,296.8643633524577,8.970591818332115E-5,1.1610081195831299,0.07280031840006511,86.41200004278026,1.1632883305944,"{""type"":""Point"",""coordinates"":[-76.19965432641052,39.68334252710496]}"
2_1_139,-27.557825800779035,1.1239016398131905,-24.519784316143152,44.508426666259766,2015-08-25,291.02067883809406,39.03327481911461,-76.18847968650985,1,0,ASC,6190906.416666667,101102.12727864583,298.23635228474933,3.1453331890244723E-4,1.2303033669789631,-0.0572045644124349,92.66212490017755,1.231632549500617,"{""type"":""Point"",""coordinates"":[-76.18847968650985,39.0332748191146]}"
2_1_187,-29.153281303260933,1.3125178603329035,-22.211721595823903,41.55878448486328,2015-08-25,292.70012219746906,37.63261430195355,-76.51771839296354,1,0,ASC,5588803.583333333,100996.75227864583,298.70241673787433,2.8708325277163976E-5,0.30204002062479657,0.6229305267333984,25.86733225302355,0.6922937347653645,"{""type"":""Point"",""coordinates"":[-76.51771839296354,37.63261430195355]}"
2_1_239,-28.1837635011305,1.1240182660811326,-25.074115209348538,44.56986618041992,2015-08-25,293.1953207651774,37.95935169625495,-75.94619901488262,1,0,ASC,6077270.75,101199.46061197917,298.88698705037433,4.9496686906014276E-5,1.2861708799997966,0.7362931569417318,60.21019375029282,1.4820132069312584,"{""type"":""Point"",""coordinates"":[-75.94619901488262,37.95935169625495]}"
2_1_265,-36.66387363626154,1.5750926611752627,-23.277280467362868,42.89237976074219,2015-08-25,292.03532727559406,38.18102449592077,-76.354758736145,1,0,ASC,6028739.333333333,101069.7939453125,298.4051348368327,3.1236866067244996E-5,0.7676568826039633,-0.39061927795410156,116.9690941226668,0.8613248572510946,"{""type"":""Point"",""coordinates"":[-76.354758736145,38.18102449592077]}"
2_1_288,-26.52061356402083,1.125593649936164,-23.561445611855486,40.95360565185547,2015-08-25,292.40243339538574,37.790364035878774,-76.67156515004218,1,0,ASC,5790318.416666667,100950.6689453125,298.414493560791,1.2198071505024425E-5,0.21134177843729654,-0.2355492909749349,138.10060815573337,0.31646297696860826,"{""type"":""Point"",""coordinates"":[-76.67156515004218,37.790364035878774]}"
2_1_290,-30.366961733510685,1.16162455976238,-26.141804146877284,43.94378662109375,2015-08-25,291.36809094746906,38.73392230176207,-76.24842717678327,1,0,ASC,6104933.916666667,101118.71061197917,298.47268040974933,1.55680576538438E-4,0.9045790831247965,-0.23404375712076822,104.50615637486248,0.9343659871132418,"{""type"":""Point"",""coordinates"":[-76.24842717678327,38.73392230176207]}"
2_1_355,-29.01550894125169,1.3113193312182214,-22.126958895890105,44.57041931152344,2015-08-25,293.70516777038574,37.5492397986249,-75.86663133426741,1,0,ASC,5565734.916666667,101128.6689453125,298.90725072224933,5.8739132136498284E-5,1.4869358539581299,2.538783391316732,30.35700898810324,2.9421759535778755,"{""type"":""Point"",""coordinates"":[-75.86663133426741,37.54923979862491]}"
2_1_365,-26.816333213993033,1.2145387169260047,-22.079438753393653,41.444007873535156,2015-08-25,293.29606946309406,37.2410421049897,-76.45859039341433,1,0,ASC,5068997.333333333,101086.2939453125,298.6641680399577,4.106449231544573E-5,0.24727114041646323,0.9273738861083984,14.92976964753998,0.9597735886752933,"{""type"":""Point"",""coordinates"":[-76.45859039341433,37.2410421049897]}"
2_1_398,-32.548046606150976,1.266700505202254,-25.69513983177423,43.146121978759766,2015-08-25,294.11654472351074,36.94709711009913,-76.04567074652736,1,0,ASC,5198178.083333333,101157.71061197917,298.475040435791,2.54630418072536E-4,0.26090232531229657,2.019455591837565,7.361516293355982,2.0362394040871945,"{""type"":""Point"",""coordinates"":[-76.04567074652736,36.94709711009913]}"
2_1_430,-31.410091523575538,1.2118058954676998,-25.920068256024393,43.07637023925781,2015-08-25,292.1618734995524,37.93494008897799,-76.26374325371324,1,0,ASC,5793729.166666667,101039.08561197917,298.58449681599933,2.295896058320442E-5,0.5970432758331299,-0.09854571024576823,99.3725212348046,0.6051214177546501,"{""type"":""Point"",""coordinates"":[-76.26374325371324,37.93494008897799]}"
2_2_88,-22.617556703885285,3.1310843338247922,-7.223553980820661,44.343055725097656,2015-08-25,293.8757406870524,37.26195866748024,-75.85615398810167,0,0,ASC,6001925.416666667,101136.87727864583,298.6929766337077,1.202266007169032E-4,1.2239557107289631,2.650599797566732,24.78586662284442,2.9195456613464437,"{""type"":""Point"",""coordinates"":[-75.85615398810167,37.26195866748024]}"
2_2_122,-28.961493032274905,1.6543736846989576,-17.506016506509507,40.45125961303711,2015-08-25,293.3044516245524,37.185061558028,-76.64462363585682,0,0,ASC,5055829.333333333,101041.87727864583,298.614200592041,2.2615612994029515E-5,0.21117901802062988,0.5968074798583984,19.486213757463332,0.6330685157762074,"{""type"":""Point"",""coordinates"":[-76.64462363585682,37.185061558027996]}"
2_2_260,-23.418082123416795,3.269757569848326,-7.162023979809331,44.334800720214844,2015-08-25,293.8757406870524,37.271444156944106,-75.85993330772948,0,0,ASC,6001925.416666667,101136.87727864583,298.6929766337077,1.202266007169032E-4,1.2239557107289631,2.650599797566732,24.78586662284442,2.9195456613464437,"{""type"":""Point"",""coordinates"":[-75.85993330772948,37.27144415694411]}"
2_2_261,-21.334944078170352,1.3334648800255637,-15.999629534871096,40.45418930053711,2015-08-25,293.5920492808024,36.86741557389423,-76.57475483558154,0,0,ASC,4598918.916666667,101028.58561197917,298.761173248291,1.0288102820554812E-4,0.17988832791646323,0.6385148366292318,15.734082638681901,0.6633709423212895,"{""type"":""Point"",""coordinates"":[-76.57475483558154,36.86741557389423]}"
3_1_11,-28.15095612219846,1.2333753280628397,-22.82432239536754,45.01004409790039,2015-09-18,287.86008707682294,39.683342527104955,-76.19965432641052,1,0,ASC,5759809.416666667,100554.95377604167,294.85302289326984,1.0730594368624224E-6,0.2844613393147786,1.179007848103841,13.564613198954753,1.2128387194739487,"{""type"":""Point"",""coordinates"":[-76.19965432641052,39.68334252710496]}"
3_1_33,-50.45230441559943,1.010006992000968,-49.95243083975708,45.5665168762207,2015-09-18,289.49843343098956,39.36853550007995,-76.01059248597983,1,0,ASC,5837188.333333333,101483.12044270833,295.3409786224365,1.0730594368624224E-6,0.11897468566894531,1.160575230916341,5.853147210631248,1.1666575514891002,"{""type"":""Point"",""coordinates"":[-76.01059248597983,39.36853550007995]}"
3_1_139,-33.47254399835517,1.4777262935798472,-22.651382833059486,44.47282791137695,2015-09-18,290.21832275390625,39.03327481911461,-76.18847968650985,1,0,ASC,6024876.833333333,101661.912109375,296.0049597422282,1.0730594368624224E-6,0.8036263783772787,2.2202269236246743,19.898070894958884,2.3611910021028937,"{""type"":""Point"",""coordinates"":[-76.18847968650985,39.0332748191146]}"
3_1_250,-25.722514091321806,1.0967101461146156,-23.454250133866804,45.094566345214844,2015-09-18,289.48915608723956,37.71258471480023,-75.77961592134223,1,0,ASC,6147601.833333333,101688.87044270833,295.6817989349365,1.0730594368624224E-6,-0.9847036997477213,1.5549437204996746,-32.34497161340896,1.8405138821041858,"{""type"":""Point"",""coordinates"":[-75.77961592134223,37.71258471480023]}"
3_1_265,-27.502593643771927,1.1234171921988534,-24.481193482486564,42.89531707763672,2015-09-18,289.81020100911456,38.18102449592077,-76.354758736145,1,0,ASC,6131779.416666667,101629.037109375,295.85888226826984,1.0730594368624224E-6,-0.20959790547688803,1.8222370147705078,-6.561457816378365,1.8342516239545845,"{""type"":""Point"",""coordinates"":[-76.354758736145,38.18102449592077]}"
3_1_290,-29.947769148579255,1.333237665441416,-22.462438562042855,43.935569763183594,2015-09-18,290.08941650390625,38.73392230176207,-76.24842717678327,1,0,ASC,5998467.583333333,101681.32877604167,296.0069128672282,1.0730594368624224E-6,0.5878467559814453,2.0504678090413413,15.997019655338729,2.133068691916111,"{""type"":""Point"",""coordinates"":[-76.24842717678327,38.73392230176207]}"
3_1_355,-29.415160038575618,1.3046221216441292,-22.546881239071457,44.549373626708984,2015-09-18,288.74509684244794,37.5492397986249,-75.86663133426741,1,0,ASC,5788989.666666667,101687.32877604167,295.7633419036865,1.0730594368624224E-6,-1.2999706268310547,1.5662555694580078,-39.69220755064267,2.0354557571909426,"{""type"":""Point"",""coordinates"":[-75.86663133426741,37.54923979862491]}"
3_1_396,-31.690896695890757,1.2354573840445526,-25.651145159004475,41.295291900634766,2015-09-18,289.19626871744794,37.66804204662815,-76.5763059713333,1,0,ASC,6065002.166666667,101546.37044270833,295.1658484141032,1.0730594368624224E-6,-0.5676708221435547,0.9288043975830078,-31.432625729807743,1.0885438765996864,"{""type"":""Point"",""coordinates"":[-76.5763059713333,37.66804204662815]}"
3_1_430,-29.35966610362289,1.23523479829182,-23.76849012367831,43.07740020751953,2015-09-18,289.08494059244794,37.93494008897799,-76.26374325371324,1,0,ASC,5985268.833333333,101595.287109375,295.92455609639484,1.0730594368624224E-6,-0.4405142466227214,1.4526487986246746,-16.86987285615742,1.5179727710414617,"{""type"":""Point"",""coordinates"":[-76.26374325371324,37.93494008897799]}"
3_2_62,-26.760458916467456,1.5084875268668156,-17.73992720513236,40.33074951171875,2015-09-18,289.49884033203125,37.22014532350165,-76.67262799822075,0,0,ASC,6222310.583333333,101551.412109375,295.22143109639484,1.0730594368624224E-6,-1.018435796101888,0.4667682647705078,-65.37712369247164,1.1203053529188178,"{""type"":""Point"",""coordinates"":[-76.67262799822075,37.22014532350165]}"
3_2_88,-16.977423291838093,3.797413014777064,-4.470786618619832,44.327789306640625,2015-09-18,289.02496337890625,37.26195866748024,-75.85615398810167,0,0,ASC,6418074.666666667,101683.162109375,295.7158972422282,1.0730594368624224E-6,-1.5268993377685547,1.1895872751871746,-52.07831066642298,1.9355979626372046,"{""type"":""Point"",""coordinates"":[-75.85615398810167,37.26195866748024]}"
3_2_152,-30.10301225054112,1.7521586570600451,-17.180528789014517,41.06709289550781,2015-09-18,289.16265869140625,37.75193934772513,-76.64031508732006,0,0,ASC,6113114.0,101490.95377604167,295.3641719818115,1.0730594368624224E-6,-0.479861577351888,0.7874469757080078,-31.357672926923264,0.9221387493052929,"{""type"":""Point"",""coordinates"":[-76.64031508732006,37.75193934772513]}"
3_2_258,-29.615421140259425,1.9077448911751607,-15.523784798090317,38.546539306640625,2015-09-18,287.48427327473956,38.39069942007541,-77.27888685472675,0,0,ASC,6218923.75,101462.32877604167,295.89086469014484,1.0730594368624224E-6,-0.466922124226888,1.1523558298746746,-22.05725913784964,1.2433584474071422,"{""type"":""Point"",""coordinates"":[-77.27888685472675,38.390699420075414]}"
3_2_260,-21.287054523137105,2.9176728618539083,-7.295901744656587,44.31940460205078,2015-09-18,289.02496337890625,37.271444156944106,-75.85993330772948,0,0,ASC,6418074.666666667,101683.162109375,295.7158972422282,1.0730594368624224E-6,-1.5268993377685547,1.1895872751871746,-52.07831066642298,1.9355979626372046,"{""type"":""Point"",""coordinates"":[-75.85993330772948,37.27144415694411]}"
3_2_331,-22.340254846222617,1.3133808402370515,-17.00973104053386,38.98529815673828,2015-09-18,288.44887288411456,37.555344050084706,-77.00673349392598,0,0,ASC,5894200.25,101481.37044270833,295.1714636484782,1.0730594368624224E-6,-0.6333039601643881,0.9138304392496744,-34.722783766575574,1.1118273146757773,"{""type"":""Point"",""coordinates"":[-77.00673349392598,37.555344050084706]}"
3_2_380,-30.50770377978153,1.990118493990222,-15.329591615729905,38.908058166503906,2015-09-18,289.00347900390625,37.24284776800184,-76.95327287122218,0,0,ASC,5946064.5,101459.62044270833,295.0020300547282,1.0730594368624224E-6,-0.9438915252685547,0.5013548533121744,-62.02466901495589,1.0687786957146324,"{""type"":""Point"",""coordinates"":[-76.95327287122218,37.24284776800184]}"
4_1_18,-23.56466531656006,1.0603400641985639,-22.223686638089003,41.561302185058594,2016-04-09,273.01109822591144,37.53860754166686,-76.49621239316409,1,0,ASC,6142894.25,100614.43636067708,281.7943706512451,3.139960554182271E-4,3.4153315226236978,0.26307352383931476,85.59536231170307,3.4254484506955203,"{""type"":""Point"",""coordinates"":[-76.49621239316409,37.53860754166686]}"
4_1_192,-28.742404175574535,1.2195356394898855,-23.568318337623225,44.69844436645508,2016-04-09,274.1107889811198,39.39199763548393,-76.21323492350629,1,0,ASC,4199325.0,100579.06136067708,278.65138562520343,0.003103194786800915,1.3002599080403645,-0.8539105256398519,123.29382485210284,1.555583174971903,"{""type"":""Point"",""coordinates"":[-76.21323492350629,39.39199763548393]}"
4_1_438,-28.505765417945103,1.2808424083004162,-22.255482199227117,43.8554573059082,2016-04-09,273.21080525716144,39.38341433265008,-76.39936747439695,1,0,ASC,4297327.416666667,100158.10302734375,278.3475933074951,0.002966221450461918,1.5304845174153645,-0.8863405386606852,120.07616817769481,1.7686103043128112,"{""type"":""Point"",""coordinates"":[-76.39936747439695,39.38341433265008]}"
4_2_38,-26.806299435322995,1.8571603392492684,-14.434025360545377,42.53391647338867,2016-04-09,273.7844543457031,38.05463005904797,-76.4054840714764,0,0,ASC,5625294.416666667,100794.81136067708,281.1395041147868,0.0013959302541553715,3.6671625773111978,-0.41864848136901855,96.51277184201822,3.69098197223778,"{""type"":""Point"",""coordinates"":[-76.4054840714764,38.05463005904798]}"
4_2_88,-19.22583486674464,3.1176372283253473,-6.166796666420321,44.354557037353516,2016-04-09,273.77745564778644,37.26195866748024,-75.85615398810167,0,0,ASC,6909386.083333333,100807.60302734375,282.2633647918701,1.823092164536059E-4,5.324958801269531,0.7693397998809814,81.77890322280341,5.380248132093794,"{""type"":""Point"",""coordinates"":[-75.85615398810167,37.26195866748024]}"
4_2_122,-29.458088649840928,2.1708241958241135,-13.570001986576212,40.46369552612305,2016-04-09,273.07799275716144,37.185061558028,-76.64462363585682,0,0,ASC,6394510.166666667,100752.43636067708,281.8658224741618,3.1669937441147766E-4,3.6381505330403647,0.1250120004018148,88.03201023671473,3.640297694050083,"{""type"":""Point"",""coordinates"":[-76.64462363585682,37.185061558027996]}"
4_2_152,-24.80825076283779,1.8835387423829295,-13.171086001369964,41.07522964477539,2016-04-09,273.6471659342448,37.75193934772513,-76.64031508732006,0,0,ASC,5935607.916666667,100608.06136067708,281.0486838022868,0.00116717321544287,2.0397211710611978,-0.26650818188985187,97.44404640868991,2.0570583527672466,"{""type"":""Point"",""coordinates"":[-76.64031508732006,37.75193934772513]}"
4_2_244,-27.777949181053103,1.9932224365066253,-13.936201335229537,39.98756790161133,2016-04-09,272.1821594238281,37.15004519356479,-76.73030072712079,0,0,ASC,6672571.166666667,100736.01969401042,281.52467664082843,2.647818661669632E-4,3.2790196736653647,-0.053292036056518555,90.93111364072165,3.2794527076010054,"{""type"":""Point"",""coordinates"":[-76.73030072712079,37.15004519356479]}"
4_2_258,-25.436752806917774,1.9839213209883924,-12.821452412359351,38.558570861816406,2016-04-09,272.3795878092448,38.39069942007541,-77.27888685472675,0,0,ASC,5874048.666666667,100623.93636067708,280.4561545054118,8.59806342615658E-4,2.1879552205403647,-0.8608685334523519,111.47755500980273,2.3512215291159273,"{""type"":""Point"",""coordinates"":[-77.27888685472675,38.390699420075414]}"
4_2_260,-20.18966284721703,1.8884654603228088,-10.691041626869822,44.3463249206543,2016-04-09,273.77745564778644,37.271444156944106,-75.85993330772948,0,0,ASC,6909386.083333333,100807.60302734375,282.2633647918701,1.823092164536059E-4,5.324958801269531,0.7693397998809814,81.77890322280341,5.380248132093794,"{""type"":""Point"",""coordinates"":[-75.85993330772948,37.27144415694411]}"
4_2_261,-22.616453897403357,1.4758615476140633,-15.324238194271015,40.46429443359375,2016-04-09,271.2228495279948,36.86741557389423,-76.57475483558154,0,0,ASC,6306837.75,100773.18636067708,281.8256206512451,1.93133047415787E-4,3.5649083455403647,-0.037056684494018555,90.59555953508286,3.5651009396606193,"{""type"":""Point"",""coordinates"":[-76.57475483558154,36.86741557389423]}"
4_2_290,-26.024960748935655,2.1786945452787756,-11.945208567824096,42.51902389526367,2016-04-09,273.52745564778644,38.324072942159816,-76.46700986921343,0,0,ASC,5289325.583333333,100607.14469401042,280.6253439585368,0.0016786645762065788,3.0494054158528647,-0.5012900829315186,99.33532703342198,3.0903341465735177,"{""type"":""Point"",""coordinates"":[-76.46700986921343,38.324072942159816]}"
4_2_314,-33.10875115239532,2.1540884171853394,-15.370191347882178,44.10813522338867,2016-04-09,273.23546346028644,39.01773129010771,-76.26791445117814,0,0,ASC,5357043.166666667,100730.76969401042,280.1659526824951,0.002313530721956466,2.8781814575195312,-1.4621462027231853,116.9310445876651,3.2282812796513074,"{""type"":""Point"",""coordinates"":[-76.26791445117814,39.01773129010771]}"
