system:index,vh,vh_vv_ratio,vv,angle,date,dewpoint_temperature_2m,latitude,longitude,oil_candidate,orbit_direction,orbit_type,surface_net_solar_radiation,surface_pressure,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,wind_direction_degrees,wind_speed_10m,.geo,nasa_power_air_temp_2m,nasa_power_max_air_temp_2m,nasa_power_min_air_temp_2m,nasa_power_wind_speed_2m_m/s,nasa_power_precipitation_mm,nasa_power_solar_radiation_MJm2day
0_1_430,-28.168170346029203,1.239846552835085,-22.71907784202705,43.07367706298828,2015-03-10,278.8167584737142,37.93494008897799,-76.26374325371324,1,0,ASC,2511332.091928482,102190.43489583331,281.0005677541097,2.7702127821290407e-05,-1.4583969116210938,1.8700072765350344,-37.950253793072406,2.3714655312949247,"{""type"":""Point"",""coordinates"":[-76.26374325371324,37.93494008897799]}",5.64,9.45,2.95,1.89,1.52,5.84
0_1_493,-24.9034107435439,0.9725629668468214,-25.60596238234741,40.22695541381836,2015-03-10,278.32278060913086,37.96635992232168,-76.853978656433,1,0,ASC,2045189.2585951488,101966.3515625,280.7311992645264,8.101848257287732e-05,-0.8427556355794271,1.006644646326701,-39.93582677394168,1.3128482415264504,"{""type"":""Point"",""coordinates"":[-76.853978656433,37.96635992232168]}",7.11,11.6,2.4,0.45,2.69,5.84
0_2_88,-16.163941747292686,1.49824005230142,-10.78861943549269,44.34197235107422,2015-03-10,278.59052149454754,37.26195866748024,-75.85615398810167,0,0,ASC,3591771.341928482,102298.55989583331,279.9030742645264,3.069638481179027e-07,-1.4687728881835938,3.8160928885142007,-21.05117586349565,4.088992385763494,"{""type"":""Point"",""coordinates"":[-75.85615398810167,37.26195866748024]}",6.45,9.76,5.03,3.23,0.89,6.78
0_2_260,-18.199969043257592,1.6085814542038346,-11.314297448658357,44.3336296081543,2015-03-10,278.59052149454754,37.271444156944106,-75.85993330772948,0,0,ASC,3591771.341928482,102298.55989583331,279.9030742645264,3.069638481179027e-07,-1.4687728881835938,3.8160928885142007,-21.05117586349565,4.088992385763494,"{""type"":""Point"",""coordinates"":[-75.85993330772948,37.27144415694411]}",6.45,9.76,5.03,3.23,0.89,6.78
0_2_261,-17.742046809078033,1.0199881670284645,-17.394365329517505,40.45099639892578,2015-03-10,281.80585352579754,36.86741557389423,-76.57475483558154,0,0,ASC,2915625.841928482,102165.3515625,286.2207825978597,3.069638481179027e-07,0.8784357706705729,1.8573119640350344,25.312314302466586,2.054569817490094,"{""type"":""Point"",""coordinates"":[-76.57475483558154,36.86741557389423]}",12.75,18.66,5.59,1.07,0.13,9.71
1_1_398,-23.74503899600849,0.9288166166954032,-25.56483009583737,32.069583892822266,2015-03-17,281.3138739267985,36.94709711009913,-76.04567074652736,1,0,ASC,5186598.393066406,100756.400390625,287.6548334757487,0.0001821414850443996,4.174934387207031,-0.1897258758544922,92.60196139585632,4.179243118730054,"{""type"":""Point"",""coordinates"":[-76.04567074652736,36.94709711009913]}",12.5,18.35,6.06,4.09,0.01,17.06
1_2_38,-23.88906354491187,1.9014532203217531,-12.563582048507875,31.462871551513672,2015-03-17,279.5836493174235,38.05463005904797,-76.4054840714764,0,0,ASC,5077624.309733073,100743.94205729169,284.17542266845703,0.0002963511245737867,2.9795405069986978,-0.5291220347086588,100.0698968938672,3.0261579206082896,"{""type"":""Point"",""coordinates"":[-76.4054840714764,38.05463005904798]}",9.88,14.16,4.26,3.61,0.0,12.56
1_2_67,-24.99954312864351,1.9449127247132505,-12.853812313007174,31.862924575805664,2015-03-17,278.9158433278401,38.95302853995239,-76.55506482642006,0,0,ASC,4364272.643066406,100310.48372395831,284.17542266845703,0.0006286220287075039,3.1405105590820312,-0.6933066050211588,102.44907678649388,3.2161282033326497,"{""type"":""Point"",""coordinates"":[-76.55506482642006,38.9530285399524]}",9.44,17.07,0.79,5.02,0.0,12.56
1_2_186,-26.88871687866729,1.6232094645145383,-16.56515530896626,38.6041374206543,2015-03-17,278.02464866638184,39.0951232299311,-75.36762234551254,0,0,ASC,4913891.059733073,100569.775390625,283.78675079345703,0.00033295800013248095,3.6395746866861978,-0.2860393524169922,94.49372002487486,3.650797503436484,"{""type"":""Point"",""coordinates"":[-75.36762234551254,39.0951232299311]}",9.01,17.48,0.44,4.91,0.0,15.91
1_2_207,-25.00887637783704,1.5011450922530682,-16.65986619607917,36.462013244628906,2015-03-17,279.86034202575684,37.86717956433751,-75.49102260561044,0,0,ASC,5304947.809733073,100651.150390625,284.98263295491535,0.00037200866612696615,3.0826492309570312,-0.4588095347086589,98.46553620054384,3.1166059215530524,"{""type"":""Point"",""coordinates"":[-75.49102260561044,37.867179564337505]}",9.77,15.52,2.89,4.64,0.0,15.29
1_2_223,-24.77342929148206,1.7381964194176729,-14.252376207161676,35.52438735961914,2015-03-17,277.70262718200684,39.43068761301267,-76.02110498836194,0,0,ASC,4664064.226399739,100451.400390625,283.15442657470703,3.310379607383377e-05,3.1131261189778647,-0.6738974253336588,102.21434199837364,3.1852302856361137,"{""type"":""Point"",""coordinates"":[-76.02110498836194,39.43068761301268]}",8.49,16.07,-0.88,3.89,0.03,17.02
1_2_260,-23.600905884392773,1.5622405285591388,-15.107088475140246,33.62498092651367,2015-03-17,279.6546128590901,37.271444156944106,-75.85993330772948,0,0,ASC,5578141.976399739,100714.81705729169,284.48434193929035,6.186241629624334e-05,4.901781717936198,-0.4048544565836589,94.72153224499844,4.918472439824096,"{""type"":""Point"",""coordinates"":[-75.85993330772948,37.27144415694411]}",9.34,12.26,4.82,4.94,0.0,15.29
1_2_290,-22.790515511308524,1.453307660496154,-15.681824386398626,31.48613548278809,2015-03-17,279.5443426767985,38.324072942159816,-76.46700986921343,0,0,ASC,4733771.893066406,100567.35872395831,284.40125274658203,0.0002062394566625751,2.7308832804361978,-0.4941692352294922,100.25701087876035,2.7752345350282144,"{""type"":""Point"",""coordinates"":[-76.46700986921343,38.324072942159816]}",9.99,16.86,2.14,3.86,0.0,12.56
1_2_314,-25.091067835189893,1.9445509526356977,-12.903270958871389,33.616004943847656,2015-03-17,278.2555243174235,39.01773129010771,-76.26791445117814,0,0,ASC,4632107.059733073,100688.85872395831,282.4451166788737,0.00024213914794627792,4.124234517415364,-0.1827678680419922,92.5374358283644,4.128282263633261,"{""type"":""Point"",""coordinates"":[-76.26791445117814,39.01773129010771]}",9.44,17.07,0.79,5.02,0.0,17.02
1_2_327,-22.3481064252104,1.5985086230219665,-13.980597979485092,30.51101493835449,2015-03-17,278.43456077575684,39.43710582583507,-76.93510079070714,0,0,ASC,4207872.143066406,98762.31705729169,284.21114857991535,0.0003917104847520984,2.8864008585611978,-1.0455608367919922,109.9122547388371,3.0699360546656327,"{""type"":""Point"",""coordinates"":[-76.93510079070714,39.43710582583507]}",8.5,15.83,-1.5,5.05,0.03,17.02
1_2_336,-22.39139521877394,1.5481293174403732,-14.463517334453137,33.533790588378906,2015-03-17,278.52269554138184,38.73412218362813,-76.2161298356623,0,0,ASC,4758334.309733073,100692.48372395831,283.48824818929035,0.0004042383255849676,3.3042475382486978,-0.2344036102294922,94.05776983225736,3.312551410395196,"{""type"":""Point"",""coordinates"":[-76.2161298356623,38.73412218362814]}",9.99,16.86,2.14,3.86,0.0,12.56
1_2_345,-19.725046723536167,1.883718082456871,-10.47133693052914,35.41073989868164,2015-03-17,280.48973655700684,37.83678411747479,-75.67390991299865,0,0,ASC,5180776.226399739,100669.81705729169,285.06482696533203,0.00031054572237435946,2.9432042439778647,-0.7059612274169922,103.48822687177572,3.026686715929718,"{""type"":""Point"",""coordinates"":[-75.67390991299865,37.83678411747479]}",9.77,15.52,2.89,4.64,0.0,15.29
1_2_373,-22.160533010916303,1.8527284476577133,-11.961025933904374,33.13091278076172,2015-03-17,278.92845726013184,38.35543659154401,-76.19548880398496,0,0,ASC,4974330.393066406,100721.35872395831,283.52356719970703,0.0002928477994889415,3.2183507283528647,-0.2401409149169922,94.26728228091254,3.227297487017053,"{""type"":""Point"",""coordinates"":[-76.19548880398497,38.35543659154401]}",9.99,16.86,2.14,3.86,0.0,12.56
2_1_11,-29.39503111702797,1.2036515439777018,-24.42154564093055,45.01598739624024,2015-08-25,289.55331230163574,39.68334252710496,-76.19965432641052,1,0,ASC,5975738.75,100004.46061197916,296.8643633524577,8.970591818332115e-05,1.16100811958313,0.0728003184000651,86.41200004278026,1.1632883305944,"{""type"":""Point"",""coordinates"":[-76.19965432641052,39.68334252710496]}",23.77,28.97,18.22,1.55,0.24,25.18
2_1_139,-27.557825800779035,1.1239016398131905,-24.519784316143152,44.508426666259766,2015-08-25,291.02067883809406,39.03327481911461,-76.18847968650985,1,0,ASC,6190906.416666667,101102.12727864584,298.23635228474933,0.00031453331890244723,1.2303033669789631,-0.0572045644124349,92.66212490017756,1.231632549500617,"{""type"":""Point"",""coordinates"":[-76.18847968650985,39.0332748191146]}",24.98,29.46,20.19,2.19,0.41,25.18
2_1_187,-29.153281303260933,1.3125178603329035,-22.211721595823903,41.55878448486328,2015-08-25,292.70012219746906,37.63261430195355,-76.51771839296354,1,0,ASC,5588803.583333333,100996.75227864584,298.7024167378744,2.8708325277163976e-05,0.3020400206247965,0.6229305267333984,25.86733225302355,0.6922937347653645,"{""type"":""Point"",""coordinates"":[-76.51771839296354,37.63261430195355]}",26.07,29.02,23.46,1.99,2.18,20.45
2_1_239,-28.1837635011305,1.1240182660811326,-25.074115209348538,44.56986618041992,2015-08-25,293.1953207651774,37.95935169625495,-75.94619901488262,1,0,ASC,6077270.75,101199.46061197916,298.8869870503744,4.949668690601428e-05,1.2861708799997966,0.7362931569417318,60.21019375029282,1.4820132069312584,"{""type"":""Point"",""coordinates"":[-75.94619901488262,37.95935169625495]}",26.33,28.89,23.81,1.99,0.35,17.7
2_1_265,-36.66387363626154,1.5750926611752627,-23.277280467362868,42.89237976074219,2015-08-25,292.03532727559406,38.18102449592077,-76.354758736145,1,0,ASC,6028739.333333333,101069.7939453125,298.4051348368327,3.1236866067245e-05,0.7676568826039633,-0.3906192779541015,116.9690941226668,0.8613248572510946,"{""type"":""Point"",""coordinates"":[-76.354758736145,38.18102449592077]}",26.33,28.89,23.81,1.99,0.35,22.59
2_1_288,-26.52061356402083,1.125593649936164,-23.561445611855486,40.95360565185547,2015-08-25,292.40243339538574,37.79036403587877,-76.67156515004218,1,0,ASC,5790318.416666667,100950.6689453125,298.414493560791,1.2198071505024425e-05,0.2113417784372965,-0.2355492909749349,138.10060815573337,0.3164629769686082,"{""type"":""Point"",""coordinates"":[-76.67156515004218,37.790364035878774]}",26.06,31.75,21.1,0.5,0.18,20.45
2_1_290,-30.366961733510685,1.16162455976238,-26.141804146877284,43.94378662109375,2015-08-25,291.36809094746906,38.73392230176207,-76.24842717678327,1,0,ASC,6104933.916666667,101118.71061197916,298.47268040974933,0.000155680576538438,0.9045790831247964,-0.2340437571207682,104.50615637486248,0.9343659871132418,"{""type"":""Point"",""coordinates"":[-76.24842717678327,38.73392230176207]}",26.01,29.85,21.86,1.87,0.24,22.59
2_1_355,-29.01550894125169,1.3113193312182214,-22.126958895890105,44.57041931152344,2015-08-25,293.70516777038574,37.5492397986249,-75.86663133426741,1,0,ASC,5565734.916666667,101128.6689453125,298.90725072224933,5.873913213649829e-05,1.48693585395813,2.538783391316732,30.35700898810324,2.9421759535778755,"{""type"":""Point"",""coordinates"":[-75.86663133426741,37.54923979862491]}",25.84,26.61,25.13,2.23,4.73,17.7
2_1_365,-26.816333213993037,1.214538716926005,-22.079438753393653,41.44400787353516,2015-08-25,293.29606946309406,37.2410421049897,-76.45859039341433,1,0,ASC,5068997.333333333,101086.2939453125,298.6641680399577,4.106449231544573e-05,0.2472711404164632,0.9273738861083984,14.92976964753998,0.9597735886752932,"{""type"":""Point"",""coordinates"":[-76.45859039341433,37.2410421049897]}",26.06,29.65,23.26,1.95,2.31,20.45
2_1_398,-32.548046606150976,1.266700505202254,-25.69513983177423,43.146121978759766,2015-08-25,294.11654472351074,36.94709711009913,-76.04567074652736,1,0,ASC,5198178.083333333,101157.71061197916,298.475040435791,0.000254630418072536,0.2609023253122965,2.019455591837565,7.361516293355982,2.0362394040871945,"{""type"":""Point"",""coordinates"":[-76.04567074652736,36.94709711009913]}",26.06,29.65,23.26,1.95,2.31,15.1
2_1_430,-31.410091523575534,1.2118058954676998,-25.920068256024397,43.07637023925781,2015-08-25,292.1618734995524,37.93494008897799,-76.26374325371324,1,0,ASC,5793729.166666667,101039.08561197916,298.58449681599933,2.295896058320442e-05,0.5970432758331299,-0.0985457102457682,99.3725212348046,0.6051214177546501,"{""type"":""Point"",""coordinates"":[-76.26374325371324,37.93494008897799]}",26.33,28.89,23.81,1.99,0.35,20.45
2_2_88,-22.617556703885285,3.131084333824792,-7.223553980820661,44.343055725097656,2015-08-25,293.8757406870524,37.26195866748024,-75.85615398810167,0,0,ASC,6001925.416666667,101136.87727864584,298.6929766337077,0.0001202266007169032,1.2239557107289631,2.650599797566732,24.78586662284442,2.919545661346444,"{""type"":""Point"",""coordinates"":[-75.85615398810167,37.26195866748024]}",25.84,26.61,25.13,2.23,4.73,17.7
2_2_122,-28.961493032274905,1.6543736846989576,-17.506016506509507,40.45125961303711,2015-08-25,293.3044516245524,37.185061558028,-76.64462363585682,0,0,ASC,5055829.333333333,101041.87727864584,298.614200592041,2.2615612994029515e-05,0.2111790180206298,0.5968074798583984,19.48621375746333,0.6330685157762074,"{""type"":""Point"",""coordinates"":[-76.64462363585682,37.185061558027996]}",26.59,32.52,21.4,0.66,0.61,20.45
2_2_260,-23.418082123416795,3.269757569848326,-7.162023979809331,44.33480072021485,2015-08-25,293.8757406870524,37.271444156944106,-75.85993330772948,0,0,ASC,6001925.416666667,101136.87727864584,298.6929766337077,0.0001202266007169032,1.2239557107289631,2.650599797566732,24.78586662284442,2.919545661346444,"{""type"":""Point"",""coordinates"":[-75.85993330772948,37.27144415694411]}",25.84,26.61,25.13,2.23,4.73,17.7
2_2_261,-21.334944078170352,1.3334648800255635,-15.999629534871096,40.45418930053711,2015-08-25,293.5920492808024,36.86741557389423,-76.57475483558154,0,0,ASC,4598918.916666667,101028.58561197916,298.761173248291,0.00010288102820554812,0.1798883279164632,0.6385148366292318,15.7340826386819,0.6633709423212895,"{""type"":""Point"",""coordinates"":[-76.57475483558154,36.86741557389423]}",26.59,32.52,21.4,0.66,0.61,15.1
3_1_11,-28.15095612219846,1.2333753280628397,-22.82432239536754,45.01004409790039,2015-09-18,287.86008707682294,39.68334252710496,-76.19965432641052,1,0,ASC,5759809.416666667,100554.95377604169,294.85302289326984,1.0730594368624224e-06,0.2844613393147786,1.179007848103841,13.564613198954753,1.2128387194739487,"{""type"":""Point"",""coordinates"":[-76.19965432641052,39.68334252710496]}",21.62,28.81,15.07,1.09,0.0,20.07
3_1_33,-50.45230441559943,1.010006992000968,-49.95243083975708,45.5665168762207,2015-09-18,289.4984334309896,39.36853550007995,-76.01059248597983,1,0,ASC,5837188.333333333,101483.12044270831,295.3409786224365,1.0730594368624224e-06,0.1189746856689453,1.160575230916341,5.853147210631248,1.1666575514891002,"{""type"":""Point"",""coordinates"":[-76.01059248597983,39.36853550007995]}",21.62,28.81,15.07,1.09,0.0,20.07
3_1_139,-33.47254399835517,1.4777262935798472,-22.65138283305949,44.47282791137695,2015-09-18,290.21832275390625,39.03327481911461,-76.18847968650985,1,0,ASC,6024876.833333333,101661.912109375,296.0049597422282,1.0730594368624224e-06,0.8036263783772787,2.2202269236246743,19.898070894958884,2.3611910021028937,"{""type"":""Point"",""coordinates"":[-76.18847968650985,39.0332748191146]}",22.6,29.17,16.93,1.5,0.0,20.07
3_1_250,-25.72251409132181,1.0967101461146156,-23.454250133866804,45.09456634521485,2015-09-18,289.4891560872396,37.71258471480023,-75.77961592134223,1,0,ASC,6147601.833333333,101688.87044270831,295.6817989349365,1.0730594368624224e-06,-0.9847036997477212,1.5549437204996746,-32.34497161340896,1.8405138821041855,"{""type"":""Point"",""coordinates"":[-75.77961592134223,37.71258471480023]}",23.67,24.86,22.12,2.27,0.08,21.04
3_1_265,-27.502593643771927,1.1234171921988534,-24.481193482486564,42.89531707763672,2015-09-18,289.81020100911456,38.18102449592077,-76.354758736145,1,0,ASC,6131779.416666667,101629.037109375,295.85888226826984,1.0730594368624224e-06,-0.209597905476888,1.822237014770508,-6.561457816378365,1.8342516239545843,"{""type"":""Point"",""coordinates"":[-76.354758736145,38.18102449592077]}",23.31,26.64,20.34,1.84,0.0,20.76
3_1_290,-29.94776914857925,1.333237665441416,-22.462438562042852,43.9355697631836,2015-09-18,290.08941650390625,38.73392230176207,-76.24842717678327,1,0,ASC,5998467.583333333,101681.32877604169,296.0069128672282,1.0730594368624224e-06,0.5878467559814453,2.0504678090413413,15.997019655338727,2.133068691916111,"{""type"":""Point"",""coordinates"":[-76.24842717678327,38.73392230176207]}",22.97,28.53,18.37,1.43,0.0,20.76
3_1_355,-29.415160038575618,1.3046221216441292,-22.546881239071457,44.54937362670898,2015-09-18,288.74509684244794,37.5492397986249,-75.86663133426741,1,0,ASC,5788989.666666667,101687.32877604169,295.7633419036865,1.0730594368624224e-06,-1.299970626831055,1.5662555694580078,-39.69220755064267,2.035455757190942,"{""type"":""Point"",""coordinates"":[-75.86663133426741,37.54923979862491]}",23.67,24.86,22.12,2.27,0.08,21.04
3_1_396,-31.69089669589076,1.2354573840445526,-25.651145159004475,41.295291900634766,2015-09-18,289.19626871744794,37.66804204662815,-76.5763059713333,1,0,ASC,6065002.166666667,101546.37044270831,295.1658484141032,1.0730594368624224e-06,-0.5676708221435547,0.9288043975830078,-31.432625729807743,1.0885438765996864,"{""type"":""Point"",""coordinates"":[-76.5763059713333,37.66804204662815]}",23.01,30.82,17.09,0.59,0.0,21.7
3_1_430,-29.35966610362289,1.23523479829182,-23.76849012367831,43.07740020751953,2015-09-18,289.08494059244794,37.93494008897799,-76.26374325371324,1,0,ASC,5985268.833333333,101595.287109375,295.92455609639484,1.0730594368624224e-06,-0.4405142466227214,1.4526487986246746,-16.86987285615742,1.5179727710414617,"{""type"":""Point"",""coordinates"":[-76.26374325371324,37.93494008897799]}",23.31,26.64,20.34,1.84,0.0,21.7
3_2_62,-26.760458916467456,1.5084875268668156,-17.73992720513236,40.33074951171875,2015-09-18,289.49884033203125,37.22014532350165,-76.67262799822075,0,0,ASC,6222310.583333333,101551.412109375,295.22143109639484,1.0730594368624224e-06,-1.018435796101888,0.4667682647705078,-65.37712369247164,1.1203053529188178,"{""type"":""Point"",""coordinates"":[-76.67262799822075,37.22014532350165]}",23.48,31.04,17.29,0.79,0.0,21.7
3_2_88,-16.977423291838093,3.797413014777064,-4.470786618619832,44.32778930664063,2015-09-18,289.02496337890625,37.26195866748024,-75.85615398810167,0,0,ASC,6418074.666666667,101683.162109375,295.7158972422282,1.0730594368624224e-06,-1.526899337768555,1.1895872751871746,-52.07831066642298,1.9355979626372048,"{""type"":""Point"",""coordinates"":[-75.85615398810167,37.26195866748024]}",23.67,24.86,22.12,2.27,0.08,21.04
3_2_152,-30.10301225054112,1.7521586570600451,-17.180528789014517,41.06709289550781,2015-09-18,289.16265869140625,37.75193934772513,-76.64031508732006,0,0,ASC,6113114.0,101490.95377604169,295.3641719818115,1.0730594368624224e-06,-0.479861577351888,0.7874469757080078,-31.357672926923264,0.9221387493052928,"{""type"":""Point"",""coordinates"":[-76.64031508732006,37.75193934772513]}",22.63,30.43,16.24,0.54,0.0,21.7
3_2_258,-29.615421140259425,1.9077448911751609,-15.523784798090317,38.54653930664063,2015-09-18,287.4842732747396,38.39069942007541,-77.27888685472675,0,0,ASC,6218923.75,101462.32877604169,295.89086469014484,1.0730594368624224e-06,-0.466922124226888,1.1523558298746746,-22.05725913784964,1.2433584474071422,"{""type"":""Point"",""coordinates"":[-77.27888685472675,38.390699420075414]}",22.21,31.42,14.5,0.52,0.0,20.76
3_2_260,-21.287054523137105,2.9176728618539083,-7.295901744656587,44.31940460205078,2015-09-18,289.02496337890625,37.271444156944106,-75.85993330772948,0,0,ASC,6418074.666666667,101683.162109375,295.7158972422282,1.0730594368624224e-06,-1.526899337768555,1.1895872751871746,-52.07831066642298,1.9355979626372048,"{""type"":""Point"",""coordinates"":[-75.85993330772948,37.27144415694411]}",23.67,24.86,22.12,2.27,0.08,21.04
3_2_331,-22.340254846222617,1.3133808402370517,-17.00973104053386,38.98529815673828,2015-09-18,288.44887288411456,37.55534405008471,-77.00673349392598,0,0,ASC,5894200.25,101481.37044270831,295.1714636484782,1.0730594368624224e-06,-0.6333039601643881,0.9138304392496744,-34.722783766575574,1.1118273146757771,"{""type"":""Point"",""coordinates"":[-77.00673349392598,37.555344050084706]}",23.01,30.82,17.09,0.59,0.0,21.33
3_2_380,-30.50770377978153,1.990118493990222,-15.329591615729903,38.90805816650391,2015-09-18,289.00347900390625,37.24284776800184,-76.95327287122218,0,0,ASC,5946064.5,101459.62044270831,295.0020300547282,1.0730594368624224e-06,-0.9438915252685548,0.5013548533121744,-62.02466901495589,1.0687786957146324,"{""type"":""Point"",""coordinates"":[-76.95327287122218,37.24284776800184]}",23.48,31.04,17.29,0.79,0.0,21.7
4_1_18,-23.56466531656006,1.060340064198564,-22.223686638089003,41.561302185058594,2016-04-09,273.01109822591144,37.53860754166686,-76.49621239316409,1,0,ASC,6142894.25,100614.43636067708,281.7943706512451,0.0003139960554182271,3.4153315226236978,0.2630735238393147,85.59536231170307,3.4254484506955203,"{""type"":""Point"",""coordinates"":[-76.49621239316409,37.53860754166686]}",7.24,9.01,3.15,6.0,1.32,17.39
4_1_192,-28.74240417557453,1.2195356394898855,-23.568318337623225,44.69844436645508,2016-04-09,274.1107889811198,39.39199763548393,-76.21323492350629,1,0,ASC,4199325.0,100579.06136067708,278.65138562520343,0.0031031947868009,1.3002599080403645,-0.8539105256398519,123.29382485210284,1.555583174971903,"{""type"":""Point"",""coordinates"":[-76.21323492350629,39.39199763548393]}",3.15,6.51,-1.44,2.8,8.51,9.17
4_1_438,-28.505765417945103,1.2808424083004162,-22.25548219922712,43.8554573059082,2016-04-09,273.21080525716144,39.38341433265008,-76.39936747439695,1,0,ASC,4297327.416666667,100158.10302734376,278.3475933074951,0.0029662214504619,1.5304845174153645,-0.8863405386606852,120.0761681776948,1.7686103043128112,"{""type"":""Point"",""coordinates"":[-76.39936747439695,39.38341433265008]}",3.15,6.51,-1.44,2.8,8.51,9.17
4_2_38,-26.806299435322995,1.8571603392492684,-14.434025360545377,42.53391647338867,2016-04-09,273.7844543457031,38.05463005904797,-76.4054840714764,0,0,ASC,5625294.416666667,100794.81136067708,281.1395041147868,0.0013959302541553,3.6671625773111978,-0.4186484813690185,96.51277184201822,3.69098197223778,"{""type"":""Point"",""coordinates"":[-76.4054840714764,38.05463005904798]}",6.79,8.46,3.04,6.03,3.58,13.09
